UNIQUEID,CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
3641,Royale Belge,(071) 23 67 2555,Cartrain,Pascale
3097,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
3261,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
1605,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
4835,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
4268,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
3233,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
5283,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
2519,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
1018,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
1186,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
4282,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
3654,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
3207,Enaco Distributors,(93) 203 4555,Saavedra,Eduardo
1067,Salzburg Collectables,6562-9555,Pipps,Georg
1823,Salzburg Collectables,6562-9555,Pipps,Georg
4232,Salzburg Collectables,6562-9555,Pipps,Georg
2208,Salzburg Collectables,6562-9555,Pipps,Georg
2490,Salzburg Collectables,6562-9555,Pipps,Georg
2114,Salzburg Collectables,6562-9555,Pipps,Georg
3562,Salzburg Collectables,6562-9555,Pipps,Georg
3829,Salzburg Collectables,6562-9555,Pipps,Georg
3245,Salzburg Collectables,6562-9555,Pipps,Georg
3887,Salzburg Collectables,6562-9555,Pipps,Georg
3544,Salzburg Collectables,6562-9555,Pipps,Georg
1637,Salzburg Collectables,6562-9555,Pipps,Georg
3071,Salzburg Collectables,6562-9555,Pipps,Georg
3834,Salzburg Collectables,6562-9555,Pipps,Georg
1025,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
4597,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
5600,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
1399,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
5141,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
2367,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
5526,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
4236,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
3150,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
5400,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
3668,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
5361,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
3898,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
2934,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
1707,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
5189,Reims Collectables,26.47.1555,Henriot,Paul
1941,Reims Collectables,26.47.1555,Henriot,Paul
1435,Reims Collectables,26.47.1555,Henriot,Paul
5663,Reims Collectables,26.47.1555,Henriot,Paul
4846,Reims Collectables,26.47.1555,Henriot,Paul
2172,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
1289,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
3542,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
1474,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
5081,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
1745,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
2752,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
5892,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
1352,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
2616,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
2643,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
3382,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
4392,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
1857,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
5500,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
2101,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
4203,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
4206,Atelier graphique,40.32.2555,Schmitt,Carine
2323,Atelier graphique,40.32.2555,Schmitt,Carine
1996,Atelier graphique,40.32.2555,Schmitt,Carine
4672,Atelier graphique,40.32.2555,Schmitt,Carine
2251,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
4343,Signal Gift Stores,7025551838,King,Sue
2569,Signal Gift Stores,7025551838,King,Sue
1332,Signal Gift Stores,7025551838,King,Sue
4121,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
5143,Signal Gift Stores,7025551838,King,Sue
3269,Signal Gift Stores,7025551838,King,Sue
4604,Signal Gift Stores,7025551838,King,Sue
5693,Signal Gift Stores,7025551838,King,Sue
1671,Signal Gift Stores,7025551838,King,Sue
2156,Signal Gift Stores,7025551838,King,Sue
5747,Signal Gift Stores,7025551838,King,Sue
3774,Signal Gift Stores,7025551838,King,Sue
2244,Signal Gift Stores,7025551838,King,Sue
5498,Signal Gift Stores,7025551838,King,Sue
4208,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
5396,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
4676,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
3643,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
3724,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
4779,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
2489,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
4346,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
1903,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
4335,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
4928,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
1351,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
4059,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
1810,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
1553,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
2165,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
5486,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
1701,Muscle Machine Inc,2125557413,Young,Jeff
1209,Muscle Machine Inc,2125557413,Young,Jeff
2697,Muscle Machine Inc,2125557413,Young,Jeff
3871,Muscle Machine Inc,2125557413,Young,Jeff
1609,Muscle Machine Inc,2125557413,Young,Jeff
5214,Muscle Machine Inc,2125557413,Young,Jeff
1421,Muscle Machine Inc,2125557413,Young,Jeff
4581,Muscle Machine Inc,2125557413,Young,Jeff
3827,Muscle Machine Inc,2125557413,Young,Jeff
5748,Muscle Machine Inc,2125557413,Young,Jeff
5755,Muscle Machine Inc,2125557413,Young,Jeff
5113,Muscle Machine Inc,2125557413,Young,Jeff
2813,Muscle Machine Inc,2125557413,Young,Jeff
4142,Muscle Machine Inc,2125557413,Young,Jeff
3054,Muscle Machine Inc,2125557413,Young,Jeff
2432,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
3308,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
4355,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
1690,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
5147,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
4184,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
3709,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
2846,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
4117,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
1747,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
5464,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
2998,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
3328,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
1000,Gift Ideas Corp.,2035554407,Lewis,Dan
4266,Auto-Moto Classics Inc.,6175558428,Taylor,Leslie
2470,Auto-Moto Classics Inc.,6175558428,Taylor,Leslie
4744,Gift Ideas Corp.,2035554407,Lewis,Dan
5098,Gift Ideas Corp.,2035554407,Lewis,Dan
5566,Gift Ideas Corp.,2035554407,Lewis,Dan
2811,Gift Ideas Corp.,2035554407,Lewis,Dan
1362,Gift Ideas Corp.,2035554407,Lewis,Dan
2217,Gift Ideas Corp.,2035554407,Lewis,Dan
4631,Gift Ideas Corp.,2035554407,Lewis,Dan
4048,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
3807,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
5301,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
5629,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
4540,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
2031,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
3755,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
3435,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
5924,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
4895,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
1840,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
5874,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
1493,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
3894,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
5776,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
5436,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4991,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
5794,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
2571,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
3288,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
3387,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4056,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
2581,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
1893,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
3490,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4162,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
1846,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4508,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
2062,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
3891,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
3337,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4870,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
1821,Alpha Cognac,61.77.6555,Roulet,Annette
5897,Alpha Cognac,61.77.6555,Roulet,Annette
2177,Alpha Cognac,61.77.6555,Roulet,Annette
3964,Reims Collectables,26.47.1555,Henriot,Paul
2111,Reims Collectables,26.47.1555,Henriot,Paul
3444,Reims Collectables,26.47.1555,Henriot,Paul
3608,Reims Collectables,26.47.1555,Henriot,Paul
4327,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
2183,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
4884,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
3678,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
2946,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
1268,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
2387,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
5410,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
5429,Technics Stores Inc.,6505556809,Hirano,Juri
1292,Technics Stores Inc.,6505556809,Hirano,Juri
2089,Technics Stores Inc.,6505556809,Hirano,Juri
3427,Technics Stores Inc.,6505556809,Hirano,Juri
3385,Technics Stores Inc.,6505556809,Hirano,Juri
2615,Technics Stores Inc.,6505556809,Hirano,Juri
2199,Technics Stores Inc.,6505556809,Hirano,Juri
4214,Technics Stores Inc.,6505556809,Hirano,Juri
3714,Technics Stores Inc.,6505556809,Hirano,Juri
3159,Technics Stores Inc.,6505556809,Hirano,Juri
4702,Technics Stores Inc.,6505556809,Hirano,Juri
1880,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
5677,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
5337,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
1510,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
2500,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
2068,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
4717,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
1308,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
4399,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
2692,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
5221,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4311,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
5891,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
2962,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
2321,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
1938,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4742,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
5277,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
2486,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
1917,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4596,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4745,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4329,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
1164,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
1898,Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie
4782,Mini Creations Ltd.,5085559555,Tam,Wing C
4413,Mini Creations Ltd.,5085559555,Tam,Wing C
5824,Mini Creations Ltd.,5085559555,Tam,Wing C
2862,Mini Creations Ltd.,5085559555,Tam,Wing C
2673,Mini Creations Ltd.,5085559555,Tam,Wing C
1794,Mini Creations Ltd.,5085559555,Tam,Wing C
2241,Mini Creations Ltd.,5085559555,Tam,Wing C
4409,Mini Creations Ltd.,5085559555,Tam,Wing C
2270,Mini Creations Ltd.,5085559555,Tam,Wing C
1115,Mini Creations Ltd.,5085559555,Tam,Wing C
3857,Mini Creations Ltd.,5085559555,Tam,Wing C
1770,Mini Creations Ltd.,5085559555,Tam,Wing C
5774,Mini Creations Ltd.,5085559555,Tam,Wing C
2102,Mini Creations Ltd.,5085559555,Tam,Wing C
5294,Mini Creations Ltd.,5085559555,Tam,Wing C
1121,Mini Creations Ltd.,5085559555,Tam,Wing C
4873,Royale Belge,(071) 23 67 2555,Cartrain,Pascale
1455,Toys4GrownUps.com,6265557265,Young,Julie
2106,Toys4GrownUps.com,6265557265,Young,Julie
3505,Toys4GrownUps.com,6265557265,Young,Julie
1833,Toys4GrownUps.com,6265557265,Young,Julie
3625,Toys4GrownUps.com,6265557265,Young,Julie
3499,Toys4GrownUps.com,6265557265,Young,Julie
5751,Toys4GrownUps.com,6265557265,Young,Julie
2158,Toys4GrownUps.com,6265557265,Young,Julie
4791,Toys4GrownUps.com,6265557265,Young,Julie
4939,Toys4GrownUps.com,6265557265,Young,Julie
1061,Toys4GrownUps.com,6265557265,Young,Julie
2850,Toys4GrownUps.com,6265557265,Young,Julie
3121,Toys4GrownUps.com,6265557265,Young,Julie
5533,Toys4GrownUps.com,6265557265,Young,Julie
5648,Toys4GrownUps.com,6265557265,Young,Julie
3569,Toys4GrownUps.com,6265557265,Young,Julie
5883,Gift Ideas Corp.,2035554407,Lewis,Dan
2356,Gift Ideas Corp.,2035554407,Lewis,Dan
2614,Collectables For Less Inc.,6175558555,Nelson,Allen
4653,Collectables For Less Inc.,6175558555,Nelson,Allen
3949,Collectables For Less Inc.,6175558555,Nelson,Allen
5492,Collectables For Less Inc.,6175558555,Nelson,Allen
4784,Collectables For Less Inc.,6175558555,Nelson,Allen
2344,Collectables For Less Inc.,6175558555,Nelson,Allen
3276,Collectables For Less Inc.,6175558555,Nelson,Allen
3924,Collectables For Less Inc.,6175558555,Nelson,Allen
2414,Collectables For Less Inc.,6175558555,Nelson,Allen
1049,Collectables For Less Inc.,6175558555,Nelson,Allen
5988,Collectables For Less Inc.,6175558555,Nelson,Allen
3859,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
1038,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
5846,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
2613,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
1708,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
4874,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
5009,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
5683,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
4588,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
1165,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
5852,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
3481,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
4161,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
2882,"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna
3732,Signal Collectibles Ltd.,4155554312,Taylor,Sue
5853,Signal Collectibles Ltd.,4155554312,Taylor,Sue
1233,Signal Collectibles Ltd.,4155554312,Taylor,Sue
